staff01,Create Account,1001,10000.00,2025-11-16 21:07:34
staff01,Create Account,1002,10000.00,2025-11-16 21:08:05
staff01,Create Account,1003,5000.00,2025-11-16 21:09:03
staff01,Create Account,1004,5000.00,2025-11-16 21:09:21
staff01,Create Account,1005,5000.00,2025-11-16 21:09:45
staff01,Create Account,1006,5000.00,2025-11-16 21:10:11
staff01,Create Account,1007,10.00,2025-11-16 21:10:27
staff01,Create Account,1008,5.00,2025-11-16 21:11:06
staff01,Responded to Complaint,1,0.00,2025-11-25 21:17:41
staff01,Responded to Complaint,1,0.00,2025-11-25 21:18:20
staff01,Responded to Complaint,1,0.00,2025-11-25 21:18:47
staff01,Responded to Complaint,1,0.00,2025-11-25 21:19:57
staff01,Create Account,1009,5000.00,2025-11-27 17:43:35
staff01,Responded to Complaint,2,0.00,2025-11-27 17:53:18
